id,TEMPERATURE_C,HUMIDITY_percentage,ALTITUDE_m,PRESSURE_hPa,PM10,PM25,PM100,P03um_perdecilitre,P05um_perdecilitre,P10um_perdecilitre,P25um_perdecilitre,P50um_perdecilitre,P100um_perdecilitre,CO2_ppm,TVOC_ppb,AIR_QUALITY_ppm,GAS_RESISTANCE_KOhms,TIME
156,24.81,73.65,237.99,98499.00,2.00,2.00,2.00,393.00,120.00,12.00,0.00,0.00,0.00,414.00,2.00,1546.00,26365.00,"2022-04-28 07:07:36"
157,24.80,73.75,237.90,98500.00,2.00,2.00,5.00,501.00,159.00,12.00,4.00,2.00,0.00,405.00,0.00,1549.00,26465.00,"2022-04-28 07:08:03"
158,24.82,73.63,237.82,98501.00,2.00,3.00,3.00,510.00,159.00,7.00,0.00,0.00,0.00,406.00,0.00,1532.00,26298.00,"2022-04-28 07:08:30"
159,24.83,73.58,237.73,98502.00,1.00,2.00,3.00,546.00,165.00,6.00,2.00,0.00,0.00,406.00,0.00,1535.00,26365.00,"2022-04-28 07:08:57"
160,24.83,73.45,237.56,98504.00,0.00,1.00,2.00,402.00,114.00,12.00,2.00,2.00,0.00,400.00,0.00,1532.00,26365.00,"2022-04-28 07:09:24"
161,24.81,73.47,237.48,98505.00,3.00,3.00,4.00,696.00,213.00,7.00,2.00,2.00,0.00,400.00,0.00,1527.00,26550.00,"2022-04-28 07:09:52"
162,24.81,73.71,237.39,98506.00,1.00,1.00,3.00,510.00,155.00,6.00,4.00,0.00,0.00,409.00,1.00,1534.00,26415.00,"2022-04-28 07:10:19"
163,24.81,73.44,237.39,98506.00,1.00,1.00,1.00,495.00,146.00,2.00,0.00,0.00,0.00,423.00,3.00,1526.00,26499.00,"2022-04-28 07:10:46"
164,24.81,73.47,237.22,98508.00,1.00,1.00,1.00,489.00,151.00,2.00,0.00,0.00,0.00,418.00,2.00,1530.00,26415.00,"2022-04-28 07:11:17"
165,24.21,72.74,212.12,98803.00,9.00,10.00,12.00,1368.00,439.00,31.00,2.00,2.00,0.00,406.00,0.00,1443.00,27515.00,"2022-04-29 20:53:01"
166,24.17,72.78,211.78,98807.00,11.00,16.00,19.00,1803.00,565.00,72.00,9.00,4.00,2.00,403.00,0.00,1403.00,27662.00,"2022-04-29 20:53:28"
167,24.19,73.06,211.19,98814.00,8.00,10.00,10.00,1458.00,443.00,33.00,0.00,0.00,0.00,403.00,0.00,1425.00,27754.00,"2022-04-29 20:53:56"
168,24.21,72.92,211.27,98813.00,8.00,10.00,12.00,1488.00,465.00,43.00,4.00,2.00,0.00,400.00,0.00,1421.00,27643.00,"2022-04-29 20:54:23"
169,24.26,72.92,211.36,98812.00,7.00,11.00,13.00,1371.00,413.00,57.00,4.00,2.00,2.00,411.00,1.00,1424.00,27607.00,"2022-04-29 20:54:50"
170,24.29,72.68,211.53,98810.00,9.00,10.00,13.00,1473.00,442.00,59.00,6.00,2.00,0.00,411.00,1.00,1422.00,27773.00,"2022-04-29 20:55:17"
171,24.29,72.36,211.44,98811.00,9.00,14.00,16.00,1608.00,491.00,83.00,4.00,2.00,2.00,415.00,2.00,1420.00,27940.00,"2022-04-29 20:55:44"
172,24.26,72.70,211.19,98814.00,9.00,11.00,16.00,1296.00,418.00,56.00,8.00,6.00,0.00,400.00,0.00,1422.00,27717.00,"2022-04-29 20:56:11"
173,24.26,72.75,211.27,98813.00,9.00,11.00,11.00,1416.00,430.00,43.00,0.00,0.00,0.00,411.00,1.00,1412.00,27736.00,"2022-04-29 20:56:38"
174,24.26,72.46,211.53,98810.00,8.00,9.00,10.00,1140.00,366.00,43.00,2.00,2.00,0.00,415.00,2.00,1408.00,28016.00,"2022-04-29 20:57:05"
175,24.27,72.66,211.53,98810.00,10.00,14.00,15.00,1602.00,507.00,58.00,5.00,2.00,0.00,409.00,1.00,1411.00,27903.00,"2022-04-29 20:57:33"
176,24.27,72.57,211.44,98811.00,8.00,11.00,11.00,1398.00,430.00,58.00,2.00,0.00,0.00,403.00,0.00,1403.00,27754.00,"2022-04-29 20:58:00"
177,24.23,72.53,211.53,98810.00,7.00,8.00,10.00,1263.00,390.00,26.00,2.00,2.00,0.00,410.00,1.00,1406.00,28110.00,"2022-04-29 20:58:27"
178,24.19,72.73,211.61,98809.00,9.00,10.00,10.00,1380.00,443.00,38.00,0.00,0.00,0.00,400.00,0.00,1398.00,28359.00,"2022-04-29 20:58:54"
179,24.14,72.86,211.53,98810.00,9.00,12.00,18.00,1440.00,458.00,74.00,11.00,9.00,0.00,410.00,1.00,1390.00,28167.00,"2022-04-29 20:59:22"
180,24.14,73.06,211.10,98815.00,9.00,10.00,12.00,1341.00,406.00,42.00,4.00,0.00,0.00,400.00,0.00,1398.00,28187.00,"2022-04-29 20:59:49"
181,24.19,73.04,211.27,98813.00,8.00,11.00,15.00,1377.00,427.00,50.00,9.00,6.00,2.00,400.00,0.00,1424.00,28282.00,"2022-04-29 21:00:16"
182,24.25,72.76,211.10,98815.00,9.00,12.00,14.00,1515.00,472.00,58.00,6.00,2.00,0.00,408.00,1.00,1395.00,28244.00,"2022-04-29 21:00:43"
183,24.29,72.57,211.10,98815.00,11.00,14.00,16.00,1539.00,470.00,59.00,7.00,2.00,0.00,403.00,0.00,1426.00,28282.00,"2022-04-29 21:01:10"
184,24.30,72.55,211.10,98815.00,11.00,14.00,17.00,1638.00,495.00,73.00,7.00,2.00,0.00,400.00,0.00,1410.00,28398.00,"2022-04-29 21:01:37"
185,24.31,72.40,211.36,98812.00,9.00,12.00,15.00,1362.00,425.00,51.00,5.00,5.00,0.00,400.00,0.00,1377.00,28244.00,"2022-04-29 21:02:05"
186,24.36,72.57,211.44,98811.00,10.00,15.00,16.00,1386.00,442.00,91.00,8.00,2.00,0.00,403.00,0.00,1394.00,28282.00,"2022-04-29 21:02:32"
187,24.38,72.46,211.70,98808.00,10.00,12.00,13.00,1458.00,450.00,33.00,4.00,2.00,0.00,405.00,0.00,1395.00,28398.00,"2022-04-29 21:02:59"
188,24.35,72.38,211.44,98811.00,9.00,12.00,18.00,1605.00,491.00,42.00,11.00,9.00,0.00,411.00,1.00,1410.00,28379.00,"2022-04-29 21:03:26"
189,24.32,72.66,211.19,98814.00,9.00,10.00,13.00,1545.00,451.00,52.00,4.00,2.00,2.00,409.00,1.00,1392.00,28244.00,"2022-04-29 21:03:53"
190,24.27,72.30,211.27,98813.00,8.00,10.00,12.00,1401.00,428.00,45.00,4.00,2.00,0.00,414.00,2.00,1392.00,28613.00,"2022-04-29 21:04:20"
191,24.23,72.48,211.44,98811.00,7.00,8.00,8.00,1275.00,397.00,18.00,0.00,0.00,0.00,403.00,0.00,1399.00,28574.00,"2022-04-29 21:04:48"
192,24.20,72.65,211.53,98810.00,9.00,10.00,14.00,1536.00,486.00,43.00,6.00,4.00,0.00,406.00,0.00,1392.00,28811.00,"2022-04-29 21:05:15"
193,24.18,72.76,211.44,98811.00,10.00,11.00,11.00,1410.00,436.00,51.00,0.00,0.00,0.00,414.00,2.00,1382.00,28891.00,"2022-04-29 21:05:42"
194,24.18,72.57,211.36,98812.00,9.00,9.00,11.00,1356.00,424.00,25.00,2.00,2.00,0.00,418.00,2.00,1393.00,28931.00,"2022-04-29 21:06:09"
195,24.21,72.78,211.27,98813.00,11.00,13.00,16.00,1662.00,530.00,61.00,4.00,4.00,2.00,411.00,1.00,1403.00,28672.00,"2022-04-29 21:06:36"
196,24.27,72.66,211.19,98814.00,8.00,9.00,10.00,1311.00,405.00,28.00,2.00,0.00,0.00,418.00,2.00,1391.00,28791.00,"2022-04-29 21:07:03"
197,24.34,72.52,211.27,98813.00,10.00,15.00,18.00,1647.00,509.00,81.00,12.00,2.00,0.00,410.00,1.00,1391.00,28712.00,"2022-04-29 21:07:31"
198,24.33,72.16,211.27,98813.00,9.00,10.00,11.00,1431.00,430.00,34.00,2.00,0.00,0.00,422.00,3.00,1392.00,29032.00,"2022-04-29 21:07:58"
199,24.30,72.05,211.36,98812.00,8.00,10.00,15.00,1338.00,430.00,53.00,9.00,9.00,0.00,402.00,0.00,1392.00,28952.00,"2022-04-29 21:08:25"
200,24.32,72.36,211.19,98814.00,9.00,11.00,13.00,1473.00,462.00,59.00,4.00,2.00,0.00,405.00,0.00,1394.00,28952.00,"2022-04-29 21:08:52"
201,24.36,72.31,211.10,98815.00,9.00,11.00,15.00,1497.00,463.00,49.00,6.00,4.00,2.00,400.00,0.00,1394.00,28911.00,"2022-04-29 21:09:19"
202,24.36,72.29,211.02,98816.00,6.00,7.00,11.00,1131.00,352.00,26.00,6.00,6.00,0.00,407.00,1.00,1383.00,28952.00,"2022-04-29 21:09:46"
203,24.36,72.10,211.10,98815.00,9.00,10.00,12.00,1380.00,410.00,33.00,4.00,2.00,0.00,409.00,1.00,1401.00,29053.00,"2022-04-29 21:10:13"
204,24.32,72.05,211.19,98814.00,11.00,17.00,21.00,1590.00,503.00,94.00,14.00,4.00,0.00,418.00,2.00,1379.00,29175.00,"2022-04-29 21:10:40"
205,24.31,72.34,211.10,98815.00,7.00,8.00,10.00,1275.00,392.00,27.00,2.00,2.00,0.00,416.00,2.00,1395.00,29216.00,"2022-04-29 21:11:08"
206,24.26,72.31,211.53,98810.00,9.00,12.00,15.00,1515.00,483.00,63.00,4.00,2.00,0.00,409.00,1.00,1383.00,29278.00,"2022-04-29 21:11:35"
207,24.23,71.89,211.27,98813.00,9.00,12.00,12.00,1485.00,465.00,51.00,4.00,0.00,0.00,414.00,2.00,1427.00,29506.00,"2022-04-29 21:12:02"
208,24.24,72.24,211.10,98815.00,8.00,9.00,10.00,1356.00,417.00,26.00,2.00,2.00,0.00,416.00,2.00,1391.00,29443.00,"2022-04-29 21:12:29"
209,24.26,72.04,211.02,98816.00,7.00,9.00,16.00,1302.00,406.00,42.00,10.00,10.00,2.00,408.00,1.00,1349.00,29506.00,"2022-04-29 21:12:56"
210,24.26,72.02,211.02,98816.00,7.00,9.00,9.00,1275.00,388.00,36.00,2.00,0.00,0.00,418.00,2.00,1389.00,29548.00,"2022-04-29 21:13:23"
211,24.26,72.10,210.93,98817.00,7.00,9.00,9.00,1359.00,406.00,30.00,2.00,0.00,0.00,414.00,2.00,1373.00,29548.00,"2022-04-29 21:13:51"
212,24.26,72.16,211.02,98816.00,7.00,8.00,11.00,1260.00,393.00,20.00,4.00,4.00,0.00,413.00,1.00,1381.00,29548.00,"2022-04-29 21:14:18"
213,24.23,72.35,210.76,98819.00,6.00,10.00,10.00,1221.00,369.00,48.00,2.00,0.00,0.00,414.00,2.00,1382.00,29464.00,"2022-04-29 21:14:45"
214,24.21,72.21,210.68,98820.00,9.00,12.00,15.00,1545.00,474.00,53.00,6.00,2.00,0.00,414.00,2.00,1387.00,29738.00,"2022-04-29 21:15:12"
215,24.18,72.39,210.76,98819.00,9.00,11.00,12.00,1431.00,443.00,36.00,2.00,2.00,0.00,410.00,1.00,1383.00,29866.00,"2022-04-29 21:15:39"
216,24.15,72.58,210.85,98818.00,6.00,7.00,10.00,1137.00,349.00,37.00,6.00,4.00,0.00,400.00,0.00,1361.00,29802.00,"2022-04-29 21:16:06"
217,24.14,72.30,211.02,98816.00,8.00,9.00,11.00,1233.00,394.00,43.00,2.00,2.00,2.00,415.00,2.00,1401.00,29845.00,"2022-04-29 21:16:33"
218,24.12,72.53,211.10,98815.00,10.00,12.00,13.00,1488.00,469.00,38.00,4.00,2.00,0.00,414.00,2.00,1378.00,30039.00,"2022-04-29 21:17:00"
219,24.11,72.58,211.10,98815.00,6.00,9.00,11.00,1245.00,395.00,41.00,4.00,2.00,2.00,409.00,1.00,1383.00,29909.00,"2022-04-29 21:17:28"
220,24.12,72.33,211.19,98814.00,9.00,12.00,14.00,1389.00,443.00,63.00,4.00,4.00,0.00,400.00,0.00,1375.00,29974.00,"2022-04-29 21:17:55"
221,24.12,72.34,211.27,98813.00,7.00,11.00,13.00,1380.00,419.00,64.00,6.00,2.00,2.00,420.00,3.00,1365.00,29866.00,"2022-04-29 21:18:22"
222,24.12,72.54,211.36,98812.00,8.00,13.00,14.00,1575.00,480.00,59.00,7.00,2.00,0.00,410.00,1.00,1363.00,29866.00,"2022-04-29 21:18:49"
223,24.12,72.41,211.53,98810.00,8.00,10.00,12.00,1335.00,409.00,46.00,4.00,2.00,0.00,414.00,2.00,1370.00,29974.00,"2022-04-29 21:19:16"
224,24.09,72.50,211.61,98809.00,8.00,10.00,12.00,1272.00,395.00,38.00,2.00,2.00,2.00,406.00,0.00,1360.00,30126.00,"2022-04-29 21:19:43"
225,24.08,72.49,211.61,98809.00,9.00,11.00,13.00,1491.00,473.00,46.00,2.00,2.00,2.00,414.00,2.00,1377.00,30235.00,"2022-04-29 21:20:11"
226,24.07,72.57,211.61,98809.00,8.00,10.00,14.00,1326.00,423.00,52.00,6.00,6.00,0.00,410.00,1.00,1361.00,30147.00,"2022-04-29 21:20:38"
227,24.05,72.54,211.61,98809.00,10.00,12.00,12.00,1632.00,490.00,49.00,0.00,0.00,0.00,407.00,1.00,1386.00,30345.00,"2022-04-29 21:21:05"
228,24.05,72.51,211.53,98810.00,6.00,7.00,9.00,1059.00,325.00,37.00,6.00,2.00,0.00,411.00,1.00,1371.00,30213.00,"2022-04-29 21:21:32"
229,24.03,72.51,211.53,98810.00,7.00,8.00,8.00,1182.00,373.00,19.00,2.00,0.00,0.00,413.00,1.00,1355.00,30257.00,"2022-04-29 21:21:59"
230,24.03,72.94,211.70,98808.00,8.00,9.00,10.00,1359.00,402.00,40.00,2.00,2.00,0.00,417.00,2.00,1376.00,30323.00,"2022-04-29 21:22:26"
231,24.03,72.88,211.61,98809.00,7.00,10.00,12.00,1383.00,426.00,59.00,4.00,2.00,0.00,402.00,0.00,1376.00,30345.00,"2022-04-29 21:22:54"
232,24.04,72.74,211.70,98808.00,9.00,9.00,11.00,1500.00,458.00,24.00,2.00,2.00,0.00,407.00,1.00,1363.00,30279.00,"2022-04-29 21:23:21"
233,24.05,72.80,211.95,98805.00,7.00,8.00,11.00,1275.00,398.00,28.00,6.00,2.00,0.00,400.00,0.00,1359.00,30235.00,"2022-04-29 21:23:48"
234,24.08,72.92,211.95,98805.00,8.00,10.00,10.00,1347.00,427.00,46.00,0.00,0.00,0.00,403.00,0.00,1363.00,30213.00,"2022-04-29 21:24:15"
235,24.07,72.40,212.04,98804.00,10.00,12.00,13.00,1614.00,508.00,53.00,2.00,2.00,0.00,414.00,2.00,1377.00,30213.00,"2022-04-29 21:24:42"
236,24.06,72.48,211.95,98805.00,8.00,11.00,12.00,1308.00,413.00,56.00,2.00,0.00,0.00,413.00,1.00,1377.00,30613.00,"2022-04-29 21:25:09"
237,24.03,72.41,211.78,98807.00,7.00,8.00,8.00,1095.00,337.00,22.00,0.00,0.00,0.00,409.00,1.00,1360.00,30636.00,"2022-04-29 21:25:37"
238,24.04,72.65,211.87,98806.00,10.00,11.00,15.00,1422.00,435.00,38.00,6.00,4.00,2.00,409.00,1.00,1369.00,30591.00,"2022-04-29 21:26:04"
239,24.05,72.80,211.70,98808.00,7.00,11.00,12.00,1362.00,429.00,63.00,2.00,2.00,0.00,408.00,1.00,1373.00,30636.00,"2022-04-29 21:26:31"
240,24.05,72.85,211.61,98809.00,7.00,9.00,10.00,1311.00,407.00,45.00,2.00,2.00,0.00,411.00,1.00,1361.00,30591.00,"2022-04-29 21:26:58"
241,24.04,72.58,211.70,98808.00,9.00,9.00,11.00,1416.00,435.00,30.00,2.00,2.00,2.00,414.00,1.00,1341.00,30749.00,"2022-04-29 21:27:25"
242,24.03,72.70,211.95,98805.00,8.00,9.00,14.00,1308.00,404.00,41.00,6.00,6.00,2.00,407.00,1.00,1246.00,30658.00,"2022-04-29 21:27:52"
243,24.02,72.66,212.12,98803.00,8.00,9.00,10.00,1383.00,441.00,41.00,2.00,0.00,0.00,417.00,2.00,1232.00,30772.00,"2022-04-29 21:28:20"
244,24.01,72.82,212.04,98804.00,6.00,7.00,7.00,1113.00,341.00,31.00,0.00,0.00,0.00,400.00,0.00,1237.00,30704.00,"2022-04-29 21:28:47"
245,24.01,72.49,211.78,98807.00,8.00,9.00,10.00,1341.00,407.00,29.00,2.00,0.00,0.00,400.00,0.00,1262.00,30863.00,"2022-04-29 21:29:14"
246,24.00,72.60,211.87,98806.00,8.00,9.00,14.00,1329.00,417.00,31.00,8.00,6.00,2.00,400.00,0.00,1227.00,30932.00,"2022-04-29 21:29:41"
247,24.00,72.73,211.70,98808.00,7.00,12.00,12.00,1347.00,419.00,61.00,2.00,0.00,0.00,409.00,1.00,1224.00,30886.00,"2022-04-29 21:30:08"
248,24.04,72.95,211.78,98807.00,9.00,10.00,12.00,1527.00,475.00,43.00,2.00,2.00,0.00,409.00,1.00,1232.00,31047.00,"2022-04-29 21:30:35"
249,24.07,72.43,211.78,98807.00,9.00,10.00,13.00,1464.00,448.00,37.00,6.00,4.00,0.00,414.00,2.00,1247.00,30932.00,"2022-04-29 21:31:02"
250,24.09,72.47,212.12,98803.00,6.00,8.00,11.00,1095.00,344.00,47.00,4.00,4.00,2.00,416.00,2.00,1214.00,30795.00,"2022-04-29 21:31:29"
251,24.09,72.42,211.95,98805.00,8.00,9.00,10.00,1269.00,388.00,35.00,2.00,2.00,0.00,409.00,1.00,1217.00,30704.00,"2022-04-29 21:31:57"
252,24.09,72.22,211.87,98806.00,10.00,12.00,15.00,1467.00,448.00,54.00,4.00,4.00,2.00,420.00,3.00,1213.00,30863.00,"2022-04-29 21:32:24"
253,24.08,72.25,211.53,98810.00,8.00,10.00,11.00,1266.00,375.00,40.00,2.00,2.00,0.00,400.00,0.00,1206.00,30909.00,"2022-04-29 21:32:51"
254,24.09,72.42,211.61,98809.00,8.00,8.00,11.00,1182.00,356.00,21.00,6.00,4.00,0.00,400.00,0.00,1223.00,30955.00,"2022-04-29 21:33:18"
255,24.10,72.42,211.61,98809.00,7.00,9.00,10.00,1179.00,356.00,32.00,4.00,2.00,0.00,400.00,0.00,1264.00,30749.00,"2022-04-29 21:33:45"
256,24.10,72.30,211.70,98808.00,5.00,7.00,9.00,1065.00,335.00,38.00,2.00,2.00,0.00,403.00,0.00,1239.00,30932.00,"2022-04-29 21:34:13"
257,24.09,72.29,211.70,98808.00,6.00,7.00,7.00,1062.00,316.00,21.00,0.00,0.00,0.00,411.00,1.00,1227.00,31071.00,"2022-04-29 21:34:40"
258,24.09,72.34,211.95,98805.00,9.00,10.00,10.00,1308.00,405.00,25.00,0.00,0.00,0.00,413.00,1.00,1217.00,31024.00,"2022-04-29 21:35:07"
259,24.10,72.37,212.04,98804.00,7.00,9.00,10.00,1233.00,365.00,29.00,2.00,2.00,0.00,410.00,1.00,1225.00,30932.00,"2022-04-29 21:35:34"
260,24.06,71.75,212.04,98804.00,8.00,12.00,13.00,1248.00,390.00,58.00,5.00,2.00,0.00,403.00,0.00,1218.00,31375.00,"2022-04-29 21:36:01"
261,24.02,72.08,212.12,98803.00,7.00,8.00,12.00,1113.00,344.00,18.00,6.00,4.00,2.00,408.00,1.00,1216.00,29995.00,"2022-04-29 21:36:34"
262,24.03,71.95,211.95,98805.00,6.00,7.00,10.00,1122.00,343.00,43.00,5.00,2.00,0.00,400.00,0.00,1213.00,30840.00,"2022-04-29 21:37:01"
263,24.03,71.58,211.95,98805.00,7.00,7.00,7.00,969.00,297.00,21.00,0.00,0.00,0.00,403.00,0.00,1206.00,31187.00,"2022-04-29 21:37:28"
264,24.05,72.06,211.78,98807.00,6.00,7.00,9.00,969.00,315.00,32.00,4.00,4.00,0.00,400.00,0.00,1215.00,31399.00,"2022-04-29 21:37:55"
265,24.05,72.04,211.87,98806.00,8.00,11.00,12.00,1392.00,424.00,47.00,2.00,2.00,0.00,411.00,1.00,1200.00,30795.00,"2022-04-29 21:38:25"
266,24.06,72.20,212.12,98803.00,8.00,10.00,12.00,1248.00,391.00,53.00,6.00,4.00,0.00,420.00,3.00,1215.00,30863.00,"2022-04-29 21:38:52"
267,24.06,72.03,212.46,98799.00,7.00,10.00,10.00,1299.00,403.00,42.00,2.00,0.00,0.00,402.00,0.00,1239.00,31187.00,"2022-04-29 21:39:19"
268,24.06,72.11,212.46,98799.00,6.00,6.00,10.00,1071.00,338.00,22.00,6.00,4.00,0.00,400.00,0.00,1200.00,31164.00,"2022-04-29 21:39:47"
269,24.06,71.71,212.55,98798.00,6.00,7.00,8.00,1128.00,326.00,31.00,2.00,2.00,0.00,400.00,0.00,1216.00,31978.00,"2022-04-29 21:40:14"
270,24.04,71.23,212.63,98797.00,6.00,7.00,9.00,1101.00,341.00,20.00,2.00,2.00,0.00,402.00,0.00,1217.00,32326.00,"2022-04-29 21:40:41"
271,24.03,71.84,212.80,98795.00,7.00,8.00,8.00,1239.00,372.00,26.00,0.00,0.00,0.00,409.00,1.00,1216.00,31686.00,"2022-04-29 21:41:08"
272,24.03,71.63,212.80,98795.00,9.00,12.00,16.00,1356.00,429.00,58.00,11.00,4.00,0.00,417.00,2.00,1201.00,31880.00,"2022-04-29 21:41:35"
273,24.02,71.56,212.55,98798.00,7.00,8.00,8.00,1131.00,356.00,26.00,0.00,0.00,0.00,414.00,2.00,1200.00,31904.00,"2022-04-29 21:42:02"
274,24.05,72.06,212.46,98799.00,8.00,12.00,15.00,1440.00,440.00,52.00,8.00,4.00,0.00,407.00,1.00,1214.00,31590.00,"2022-04-29 21:42:29"
275,24.06,71.47,212.38,98800.00,8.00,10.00,10.00,1218.00,380.00,43.00,0.00,0.00,0.00,400.00,0.00,1250.00,31831.00,"2022-04-29 21:42:57"
276,24.05,71.84,212.46,98799.00,7.00,7.00,10.00,1077.00,341.00,29.00,4.00,4.00,2.00,409.00,1.00,1219.00,31831.00,"2022-04-29 21:43:24"
277,24.05,71.87,212.63,98797.00,7.00,9.00,9.00,1149.00,364.00,26.00,2.00,0.00,0.00,400.00,0.00,1231.00,31807.00,"2022-04-29 21:43:51"
278,24.03,72.10,212.80,98795.00,8.00,10.00,12.00,1350.00,399.00,58.00,2.00,2.00,2.00,400.00,0.00,1226.00,31807.00,"2022-04-29 21:44:18"
279,24.04,72.27,213.06,98792.00,8.00,9.00,10.00,1245.00,378.00,30.00,2.00,0.00,0.00,417.00,2.00,1219.00,31686.00,"2022-04-29 21:44:45"
280,24.05,71.85,213.06,98792.00,7.00,9.00,12.00,1263.00,387.00,53.00,4.00,4.00,0.00,403.00,0.00,1203.00,31831.00,"2022-04-29 21:45:12"
281,24.07,71.98,213.31,98789.00,7.00,7.00,7.00,1149.00,357.00,24.00,0.00,0.00,0.00,402.00,0.00,1197.00,31686.00,"2022-04-29 21:45:39"
282,24.06,71.64,213.40,98788.00,8.00,9.00,10.00,1401.00,425.00,38.00,2.00,2.00,0.00,413.00,1.00,1200.00,31929.00,"2022-04-29 21:46:06"
283,24.05,71.97,213.31,98789.00,7.00,7.00,7.00,1116.00,340.00,18.00,0.00,0.00,0.00,417.00,2.00,1193.00,31831.00,"2022-04-29 21:46:34"
284,24.05,71.92,213.40,98788.00,8.00,9.00,9.00,1374.00,415.00,28.00,0.00,0.00,0.00,409.00,1.00,1216.00,31978.00,"2022-04-29 21:47:01"
285,24.06,71.68,213.48,98787.00,7.00,8.00,12.00,1218.00,375.00,36.00,9.00,4.00,0.00,413.00,1.00,1218.00,32276.00,"2022-04-29 21:47:28"
286,24.04,71.74,213.40,98788.00,6.00,8.00,11.00,1083.00,331.00,50.00,6.00,4.00,0.00,411.00,1.00,1229.00,32226.00,"2022-04-29 21:47:55"
287,24.02,71.74,213.40,98788.00,7.00,10.00,14.00,1170.00,370.00,62.00,6.00,4.00,2.00,417.00,2.00,1217.00,32401.00,"2022-04-29 21:48:22"
288,24.00,71.61,213.23,98790.00,7.00,8.00,8.00,1092.00,325.00,28.00,0.00,0.00,0.00,405.00,0.00,1203.00,32376.00,"2022-04-29 21:48:49"
289,24.00,71.48,213.06,98792.00,5.00,6.00,6.00,981.00,289.00,9.00,0.00,0.00,0.00,411.00,1.00,1227.00,32656.00,"2022-04-29 21:49:16"
290,24.01,71.73,212.97,98793.00,7.00,8.00,11.00,1221.00,370.00,32.00,4.00,4.00,0.00,414.00,2.00,1206.00,32401.00,"2022-04-29 21:49:44"
291,24.03,71.70,213.06,98792.00,7.00,7.00,8.00,1071.00,328.00,15.00,2.00,2.00,0.00,411.00,1.00,1194.00,32226.00,"2022-04-29 21:50:11"
292,24.04,71.76,213.06,98792.00,9.00,10.00,11.00,1413.00,449.00,38.00,2.00,2.00,0.00,407.00,1.00,1187.00,32176.00,"2022-04-29 21:50:38"
293,24.01,71.62,213.48,98787.00,7.00,8.00,10.00,1263.00,375.00,35.00,2.00,2.00,0.00,417.00,2.00,1171.00,32301.00,"2022-04-29 21:51:05"
294,23.99,71.61,213.48,98787.00,6.00,7.00,9.00,1077.00,327.00,38.00,2.00,2.00,0.00,416.00,2.00,1185.00,32579.00,"2022-04-29 21:51:32"
295,23.98,71.73,213.65,98785.00,9.00,10.00,10.00,1311.00,403.00,31.00,2.00,0.00,0.00,418.00,2.00,1181.00,31904.00,"2022-04-29 21:52:02"
296,23.99,71.94,213.48,98787.00,5.00,7.00,7.00,1014.00,316.00,32.00,0.00,0.00,0.00,415.00,2.00,1204.00,31978.00,"2022-04-29 21:52:28"
297,24.01,71.94,213.57,98786.00,7.00,14.00,14.00,1395.00,433.00,64.00,11.00,0.00,0.00,408.00,1.00,1185.00,32101.00,"2022-04-29 21:52:55"
298,24.00,72.04,213.57,98786.00,8.00,9.00,11.00,1380.00,431.00,30.00,2.00,2.00,0.00,414.00,2.00,1203.00,32027.00,"2022-04-29 21:53:22"
299,23.98,71.87,213.65,98785.00,6.00,8.00,8.00,1116.00,352.00,33.00,0.00,0.00,0.00,414.00,2.00,1216.00,32452.00,"2022-04-29 21:53:49"
300,24.01,72.04,213.74,98784.00,8.00,9.00,10.00,1140.00,357.00,30.00,2.00,0.00,0.00,411.00,1.00,1200.00,32251.00,"2022-04-29 21:54:17"
301,24.02,72.03,213.82,98783.00,7.00,8.00,9.00,1143.00,369.00,21.00,2.00,2.00,0.00,411.00,1.00,1171.00,32301.00,"2022-04-29 21:54:44"
302,24.00,71.12,213.99,98781.00,7.00,9.00,12.00,1098.00,342.00,40.00,4.00,4.00,2.00,422.00,3.00,1199.00,32836.00,"2022-04-29 21:55:11"
303,23.98,71.30,213.74,98784.00,8.00,9.00,10.00,1239.00,372.00,35.00,2.00,2.00,0.00,400.00,0.00,1204.00,33019.00,"2022-04-29 21:55:38"
304,23.97,71.60,213.74,98784.00,9.00,12.00,14.00,1398.00,440.00,51.00,9.00,2.00,0.00,420.00,3.00,1188.00,32503.00,"2022-04-29 21:56:05"
305,23.94,71.93,213.74,98784.00,9.00,10.00,15.00,1320.00,396.00,41.00,7.00,5.00,2.00,415.00,2.00,1236.00,32477.00,"2022-04-29 21:56:32"
306,23.98,71.88,213.65,98785.00,8.00,10.00,10.00,1266.00,388.00,48.00,2.00,0.00,0.00,400.00,0.00,1194.00,32401.00,"2022-04-29 21:56:59"
307,23.98,71.33,213.57,98786.00,7.00,9.00,11.00,1242.00,380.00,51.00,4.00,2.00,0.00,414.00,2.00,1148.00,32630.00,"2022-04-29 21:57:27"
308,23.96,71.54,213.48,98787.00,9.00,11.00,11.00,1290.00,415.00,41.00,2.00,0.00,0.00,415.00,2.00,1182.00,32992.00,"2022-04-29 21:57:54"
309,23.95,71.73,213.40,98788.00,7.00,9.00,11.00,1266.00,395.00,40.00,2.00,2.00,0.00,426.00,3.00,1164.00,32733.00,"2022-04-29 21:58:21"
310,23.95,71.65,213.40,98788.00,6.00,7.00,7.00,1101.00,346.00,30.00,0.00,0.00,0.00,409.00,1.00,1171.00,32733.00,"2022-04-29 21:58:49"
